scenario,slug,status,termination,system_cost_billion_eur,co2_emissions_mt,imports_twh,curtailment_twh,unserved_energy_gwh,battery_charge_twh,battery_discharge_twh,capacity_solar_gw,capacity_wind_gw,capacity_nuclear_gw,capacity_gas_gw,capacity_imports_gw,capacity_battery_gw,generation_solar_twh,generation_wind_twh,generation_nuclear_twh,generation_gas_twh,generation_imports_twh,generation_load_shedding_twh
Baseline,baseline,ok,optimal,2.8996826836731335,2.4778492858783676,12.912322451529398,0.30006218954737857,0.0,0.11639913246587122,0.10497083299991745,6.083508963631175,10.0,2.4,4.5,3.5,0.1,8.875982838490467,26.86840979045262,16.63641035827222,0.4183028937212463,12.912322451529398,0.0
Low-carbon 2050,low-carbon-2050,ok,optimal,2.7742800039482582,0.9999999999999997,5.5365815788489225,1.476070066809004,0.0,1.9139183289072075,1.7259568506492209,7.61347579021735,14.0,2.4,4.5,3.5,1.54589567152098,11.106386844507266,36.56164432835223,12.674049632351771,0.009299127197804508,5.5365815788489225,0.0
High electricity demand,high-demand,ok,optimal,4.394707230032287,5.868767500174836,20.680605672103106,1.0331346829909291,0.1758196999999982,0.11809907583304864,0.10651412523637968,11.159942318698047,10.0,2.4,4.5,3.5,0.11258040000000119,16.228170743409972,26.189785202061213,16.47907446930183,5.843773086920557,20.680605672103106,0.0001758196999999982
Low wind and solar availability,low-renewables,ok,optimal,3.8070864505547095,4.085015844585824,19.620698049076648,0.03417023696834221,0.0,0.06596619357339456,0.05949093025618472,9.42467576346123,10.0,2.4,4.5,3.5,0.1,8.938035522376667,17.62533655003166,18.01592196857672,1.5064832062555198,19.620698049076648,0.0
Major generator outage,major-outage,ok,optimal,2.9411283308610594,2.599534906838699,13.201220973797723,0.321376588870082,0.0,0.11468859110796961,0.10342870222227024,6.161165694401802,10.0,2.4,4.5,3.5,0.1,8.989285837423168,26.84709539112992,16.065621470251184,0.608036249283713,13.201220973797723,0.0
Limited import capacity,limited-imports,ok,optimal,2.9350338604066106,3.7639514811767376,5.938539392776832,0.32914650232401865,0.0687709999999995,0.11785926135160447,0.10630809882563823,6.188602000336795,10.0,2.4,4.5,1.0,0.1,9.02931605387989,26.83932547767598,16.56639103107297,7.337910469120294,5.938539392776832,6.877099999999951e-05
